,UK_G,DE_F,UK_F,NL_E,DK_B,DE_C,UK_H,NL_D,NL_C,DE_E,DE_D,BE_B,UK_B,UK_C,UK_D,UK_E,DE_A,DK_A,DE_B,NL_B,BE_A,NL_A,NL4,DE2,BE2,DE3,DK1,NL2,NL3,DE1,NO1,UK4,DE4,NL1,UK1,UK2,BE1,UK3,UK_L,UK_K,UK_J,UK_I,UK_O,UK_N,UK_M,NO_D,NO_C,NO_B,NO_A,NL_G,NL_F,DK_C,DE_I,DE_H,DE_G
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3740.838250154226,4134.985798193844,8244.580737822032,6152.202583014489,1326.19581554387,4118.753226613751,310.6644110490598,11697.451086247931,1152.5300191267472,8227.513740598431,21484.07582198564,7208.925896491784,1212.9548019146914,4671.488744567732,161.54747138031053,1871.4046088102173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3748.38767120748,4172.581490420535,8255.985903239467,6208.1390060436315,1326.232352629962,4127.065321455295,311.2913658352428,11803.80544690074,1153.0530193817183,8461.351485607656,21679.411124644015,7223.474298025071,1247.4287176832252,4804.259157150021,161.77094855791987,1924.5926128076708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3770.4579514206816,4272.139917134832,8288.681935432121,6356.266143568529,1326.2688897160538,4151.365232801808,313.1242305959256,12085.44603372524,1154.9365758758347,8563.171936755483,22196.685159583103,7266.005678408926,1262.4397658621483,4862.071651483124,162.4116071302426,1947.7523749857548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3808.766724825246,4459.134206745149,8346.599250523255,6634.483967690696,1326.3054268021453,4193.544117189862,316.30564923311215,12614.433716604295,1158.206990755024,9015.170222018722,23168.2482295267,7339.830070214055,1329.0763595954302,5118.71113805754,163.54646117554134,2050.5624948937907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3920.775664493834,5013.032453190698,8525.071948143524,7458.596646384291,1326.3419638882372,4316.868663940998,325.6076262092449,14181.355094516986,1169.851108587718,10196.997582619757,26046.127986574225,7555.681195501864,1503.3092101589743,5789.739274519621,167.04352354024243,2319.3772594967763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4011.4130526571316,5487.072843404605,8668.184409685873,8163.893509653101,1326.378500974329,4416.66261652209,333.1347655640714,15522.36678066477,1182.5089516077803,13219.713428606388,28509.091629759587,7730.347452374595,1948.9380861244167,7506.0029597293415,169.84772390171358,3006.9147761331947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3999.246258461344,5377.344713236288,8647.369825148591,8000.635467474156,1326.4150380604212,4403.266682375677,332.1243530039898,15211.957144919472,1179.2094545684924,15296.157461498544,27938.979038473168,7706.900964745337,2255.0612771651718,8684.984269783647,169.439874963513,3479.2162581612533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.240727666038,5379.44428253845,8651.387363809794,8003.759293362415,1326.451575146513,4408.765713549027,332.5391273754599,15217.896611319806,1177.564102958878,14917.07470027951,27949.887735209413,7716.525748278135,2199.1743749926736,8469.745388618854,169.51859615413858,3392.9912758843834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3980.9784678839455,5269.6286239315405,8613.696920277422,7840.371022758928,1326.4881122326046,4383.153403919796,330.6072726007777,14907.239366591293,1175.168204139875,14293.491929790955,27379.320373894006,7671.697317926428,2107.241655133084,8115.682182468344,168.7800751739358,3251.153084243509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3957.6870978032307,5169.08859140486,8579.49118181593,7690.783411580873,1326.5246493186967,4357.509043148986,328.6730003107763,14622.821917514606,1173.024126873117,13797.903495139073,26856.946226226657,7626.812789456714,2034.178711631921,7834.292704746753,168.10983483899673,3138.4280849397564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
