,UK_G,DE_F,UK_F,NL_E,DK_B,DE_C,UK_H,NL_D,NL_C,DE_E,DE_D,BE_B,UK_B,UK_C,UK_D,UK_E,DE_A,DK_A,DE_B,NL_B,BE_A,NL_A,NL4,DE2,BE2,DE3,DK1,NL2,NL3,DE1,NO1,UK4,DE4,NL1,UK1,UK2,BE1,UK3,UK_L,UK_K,UK_J,UK_I,UK_O,UK_N,UK_M,NO_D,NO_C,NO_B,NO_A,NL_G,NL_F,DK_C,DE_I,DE_H,DE_G
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3703.0333920586218,3944.9213605004093,8306.948163290252,5869.416865823513,1326.19581554387,4077.129165146639,307.524840934105,11159.778269058257,1153.3288610226466,15288.866252297636,20496.56123553835,7136.072594019442,2253.986358606438,8680.844404109735,162.7695225920441,3477.5578224621368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3710.989140864686,3976.070784168112,8320.424837114595,5915.76226435706,1326.232352629962,4085.888636653795,308.1855399143906,11247.896796545563,1153.8466962159443,15793.958876405157,20658.403769599867,7151.404025040725,2328.4504729353857,8967.630252529461,163.0335896984468,3592.444615050114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3731.5563741890137,4062.308188438509,8356.830401534819,6044.069834732888,1326.2688897160538,4108.533657088346,309.89358153510153,11491.85357596149,1155.7009237389482,16098.549040742004,21106.46599337962,7191.03890124122,2373.355180979239,9140.57308426056,163.7469342654155,3661.7257436279406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3766.8659152826053,4230.692544495799,8421.225069804424,6294.599031405676,1326.3054268021453,4147.410314293047,312.82592371477233,11968.195663890752,1159.0061277962,17164.71239221786,21981.337746107576,7259.0835073324715,2530.5360739647836,9745.92851158894,165.0087080487209,3904.231933541802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3869.6415448696453,4731.182510605805,8618.771658401152,7039.248665660712,1326.3419638882372,4260.568763729194,321.3611044151241,13384.030489801617,1171.198243993902,19392.473219828153,24581.725003724543,7457.14122811944,2858.967393384349,11010.8257770189,168.87951153557458,4410.951461647205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3952.314780509133,5156.331804552555,8779.329636672357,7671.803337439384,1326.378500974329,4351.593992107005,328.2268468883259,14586.73427477404,1184.3340897981543,25046.14955114106,26790.66600439384,7616.459859264131,3692.469964239811,14220.918908414413,172.02554603077436,5696.9190427078065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3940.898195793478,5057.519948929097,8753.355396386542,7524.786979205548,1326.4150380604212,4339.024056710153,327.27873677778194,14307.205661059897,1180.7141828864599,29163.015301984648,26277.270916252848,7594.459091601219,4299.405697046092,16558.42846771943,171.5165968224843,6633.328483383046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3945.312906720867,5055.9099810674525,8762.133285058093,7522.391602553636,1326.451575146513,4343.884760023374,327.64536411596015,14302.651226962387,1179.095675185526,28539.98489562725,26268.90603344584,7602.966629698774,4207.554410380833,16204.678887641505,171.68859413369282,6491.615930764285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3923.789001467363,4956.707450470805,8719.613839434976,7374.793981965713,1326.4881122326046,4320.186420698346,325.85787401296517,14022.017433783903,1176.3973871441697,28021.060053589976,25753.481121949855,7561.488162146957,4131.051058478056,15910.039263171258,170.85545183776065,6373.582905037118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3901.2720556404215,4863.206603596701,8677.988783300852,7235.679561813612,1326.5246493186967,4295.39471972748,323.98791513044415,13757.5131195707,1174.1151859434542,26989.732321948464,25267.680352201005,7518.096017652323,3979.005864281715,15324.463104659311,170.03983455188913,6139.000316537263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3884.7089610541375,4785.880848176072,8645.108182354541,7120.631110512973,1326.5611864047885,4277.158352713442,322.6124041672033,13538.76648152056,1172.3966186012856,25869.571074506017,24865.920231724955,7486.177470657093,3813.8642422994167,14688.448286026176,169.39555946874583,5884.211933659165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3872.184126991677,4734.5396281838675,8621.906932782202,7044.243523791606,1326.5977234908803,4263.368208029844,321.57225756440886,13393.527431405944,1170.792708864191,24909.22193510572,24599.16752278275,7462.04100856376,3672.283184293733,14143.172965071504,168.9409453021236,5665.773914325037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3867.764470336758,4704.18051629816,8607.804825372037,6999.073983755251,1326.634260576972,4258.502059351211,321.2052194996963,13307.644614961906,1169.6500127254615,24351.875228973855,24441.431198289065,7453.523939612188,3590.1154256185814,13826.717843074037,168.6646232105957,5539.001571252111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3872.938309152583,4726.242065505127,8617.172744040006,7031.898067474158,1326.6707976630641,4264.198580796846,321.6348899321227,13370.054476888898,1169.6112805011378,24310.30737042143,24556.056016618546,7463.494384237035,3583.9872154172813,13803.116085667636,168.84818179544453,5529.546675821243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3881.1212223496814,4761.644850400919,8628.353985839192,7084.571792442434,1326.7073347491557,4273.208165782848,322.3144541738905,13470.205327422982,1170.6338884074949,24540.10164425236,24739.997667722368,7479.263581115,3617.8650157690863,13933.590661294322,169.06727132794967,5581.814964478532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3897.2361833676755,4836.5222885820785,8656.16074397296,7195.977536275667,1326.7438718352475,4290.9511269191335,323.65274910645735,13682.025926896444,1172.4852281178369,24948.05004196329,25129.03710769886,7510.318535121307,3678.0074820763966,14165.219122620043,169.61212759252433,5674.605634382347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
