,DE4,NO1,UK3,DE4,NO1,UK3
,Hydro - Pump Storage Open Loop (Energy),Hydro - Pump Storage Open Loop (Energy),Hydro - Pump Storage Open Loop (Energy),Hydro - Reservoir (Energy),Hydro - Reservoir (Energy),Hydro - Reservoir (Energy)
0,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
1,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
2,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
3,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
4,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
5,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
6,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
7,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
8,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
9,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
10,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
11,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
12,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
13,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
14,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
15,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
16,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
17,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
18,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
19,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
20,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
21,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
22,92.40520879243577,5095.293713325986,0.0,130.2162802870392,0.0,0.0
