,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,UK1,UK2,UK3,UK4,NO1
3583,0.076,0.01736339352632828,0.0,0.0,0.012479938802037694,0.06414468939153213,0.058936473414932605,0.06444480442278058,0.03676290762470369,0.005686917953046813,0.00033552101156838425,0.12962638688152264,0.18058084045296272,0.13956911250259918,0.15891044866834192,0.06508307488823328
3584,0.033,0.016399832796000217,0.0002784687165350716,2.8132383094466625e-05,0.02635345559921292,0.08181047908799999,0.0520223472556509,0.07748072800211814,0.0322796262070569,0.0030864786282891483,0.0002706680068758098,0.06771618777400078,0.19648852419041501,0.09072837417651351,0.138588815892248,0.0681238745819793
3585,0.019,0.01323691912167482,0.0021870627181407786,5.626476618893325e-05,0.04118703956659693,0.08463458987325496,0.05073147527484713,0.06398627852927002,0.0322796262070569,0.001543239314144574,0.0001353340034379049,0.02709135663350665,0.1975511985501198,0.0980937532399041,0.11140668474396247,0.06855775516394973
3586,0.042,0.04359806535167286,0.013933467796868281,0.0003375885971335995,0.05118016511320557,0.14523240133914986,0.03680735898527078,0.08125146505536286,0.060729470459997284,0.007122373756473441,0.004702922156010136,0.010545435944442468,0.16494915160895282,0.10954810462763412,0.08647365419288018,0.0639361409631157
3587,0.025,0.04562714225967516,0.030768386211962123,0.0007595743435505988,0.049149179239510024,0.1845118033453181,0.04240819310169862,0.04904702463364134,0.04286625134117433,0.008279803242081872,0.0031719070897116316,0.012558596124123677,0.1567267742002319,0.10641075325035579,0.11814375940504833,0.07147003803533791
3588,0.025,0.0426447903130398,0.041923191959497896,0.0006189124280782658,0.05771293896659847,0.12967365120232455,0.05222272039297701,0.043480728002118135,0.017036469387057808,0.004097340919265872,0.003448203090640197,0.014000713997604518,0.14941299522719628,0.15449567657504534,0.14760068369836735,0.07965565572025103
3589,0.02,0.05331460952018287,0.053666805445113916,0.00025319144785019963,0.05828084369909551,0.10799393485403944,0.05729838614380766,0.049348134739071715,0.013449844252940374,0.0035186261764616577,0.006865185898746831,0.024068734007986276,0.15614821687197908,0.18852757955751764,0.1868089209363061,0.08231432219201926
3590,0.015000000000000001,0.04697678577360345,0.05372651360658417,2.8132383094466625e-05,0.03345893613578994,0.11174297188906339,0.05788135979034441,0.043312211159734174,0.013449844252940374,0.012369590125625139,0.014422454809395253,0.06763263448748656,0.15978577956037243,0.20823404491316652,0.23519940150749413,0.08443402813299063
3591,0.007000000000000001,0.05056082906807842,0.06558720988679372,0.0,0.02261329645825384,0.13888586918781076,0.06156864165490701,0.022770737053244724,0.017346500536469734,0.027702767297376262,0.019291263378732524,0.0772100783841264,0.17057934347385822,0.22340661127352507,0.2863061975457515,0.08046236721432966
3592,0.015000000000000001,0.05936355077097979,0.04687553810535743,5.626476618893325e-05,0.01711857249808126,0.1500191189078387,0.07687466691846516,0.017734813473907172,0.022173250268234863,0.03814249374683653,0.03067418859837864,0.02892047705812888,0.16685806065652545,0.2745677446359999,0.31903864676180266,0.07320803847133896
