,DE4,NO1,UK3,DE4,NO1,UK3
,Hydro - Pump Storage Open Loop (Energy),Hydro - Pump Storage Open Loop (Energy),Hydro - Pump Storage Open Loop (Energy),Hydro - Reservoir (Energy),Hydro - Reservoir (Energy),Hydro - Reservoir (Energy)
0,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
1,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
2,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
3,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
4,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
5,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
6,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
7,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
8,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
9,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
10,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
11,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
12,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
13,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
14,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
15,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
16,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
17,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
18,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
19,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
20,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
21,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
22,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
23,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
24,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
25,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
26,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
27,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
28,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
29,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
30,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
31,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
32,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
33,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
34,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
35,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
36,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
37,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
38,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
39,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
40,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
41,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
42,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
43,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
44,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
45,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
46,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
47,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
48,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
49,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
50,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
51,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
52,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
53,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
54,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
55,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
56,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
57,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
58,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
59,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
60,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
61,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
62,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
63,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
64,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
65,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
66,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
67,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
68,45.728122046823884,5596.416655414084,0.0,65.29316239979572,0.0,0.0
