Node,BE1,BE1,BE1,BE1,BE1,BE2,BE2,BE2,BE2,BE2,DE1,DE1,DE1,DE1,DE1,DE2,DE2,DE2,DE2,DE2,DE3,DE3,DE3,DE3,DE3,DE4,DE4,DE4,DE4,DE4,DK1,DK1,DK1,DK1,DK1,NL1,NL1,NL1,NL1,NL1,NL2,NL2,NL2,NL2,NL2,NL3,NL3,NL3,NL3,NL3,NL4,NL4,NL4,NL4,NL4,NO1,NO1,NO1,NO1,NO1,UK1,UK1,UK1,UK1,UK1,UK2,UK2,UK2,UK2,UK2,UK3,UK3,UK3,UK3,UK3,UK4,UK4,UK4,UK4,UK4,DE_A,DE_B,NL_A,NL_C,NL_D,NL_E,NL_B,DK_B,DK_A,BE_B,DE_D,DE_F,DE_E,DE_C,UK_F,UK_G,UK_D,UK_E,UK_H,UK_B,UK_C,BE_A,BE1,BE2,BE_A,BE_B,DE1,DE2,DE3,DE4,DE_A,DE_B,DE_C,DE_D,DE_E,DE_F,DK1,DK_A,DK_B,NL1,NL2,NL3,NL4,NL_A,NL_B,NL_C,NL_D,NL_E,NO1,UK1,UK2,UK3,UK4,UK_B,UK_C,UK_D,UK_E,UK_F,UK_G,UK_H
,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total
0,0.0,0.0,0,0,897.4879128441013,478.908,0.0,94.7356269845927,0,1364.0003541262645,316.29997294422657,0.0,12.320414255753663,0,1973.5865935321667,364.2434072325999,0.0,0,184.25989155898935,3874.628603987145,577.3549732766071,0.0,0,0,6870.761789128467,2754.4136465465667,0.0,1792.2330611926918,1830.5445268548683,29106.646300081287,1187.45387,0.0,0,2199.09927771824,5053.542581101281,46.11116185604677,0.0,0,0,1359.7982701675348,46.11116185604677,0.0,0,212.77972593652458,829.7039709043128,524.1665144318598,0.0,0,0,3116.658093153128,46.11116185604677,0.0,0,0,540.5598708057628,0.00159,0.0,0,0,2349.1890532409625,248.42140068147395,0.0,0,1246.1138853718705,1594.6691242296772,2177.0169906612828,0.0,0,3212.501831082526,3396.1717990469956,243.78296428571434,0.0,508.4913421890908,248.1105706718285,9487.9798257767,743.7401443715296,0.0,198.3782784277278,2122.5624890484983,3859.4913992618276,1060.9568016888957,5456.660422229292,2867.898630856145,1427.375,4153.942565488616,570.0,903.0360275715074,897.085,675.671115709611,2175.592973126186,3530.124,820.8,1166.2199999999998,2275.402937853419,5063.592795665849,2825.022430492451,3922.5679993178665,4114.731628293127,2945.4526175110796,3330.894325846926,7249.882710107231,2940.6987728266913,897.4879128441013,1937.643981110857,2940.6987728266913,2175.592973126186,2302.206980732147,4423.131902778734,7448.116762405074,35483.83753467542,1060.9568016888957,5456.660422229292,2275.402937853419,3530.124,1166.2199999999998,820.8,8440.09572881952,675.671115709611,897.085,1405.9094320235815,1088.594858696884,3640.824607584988,586.6710326618096,2867.898630856145,903.0360275715074,1427.375,4153.942565488616,570.0,2349.1906432409623,3089.2044102830214,8785.690620790805,10488.364702923333,6924.1723111095835,3330.894325846926,7249.882710107231,3922.5679993178665,4114.731628293127,5063.592795665849,2825.022430492451,2945.4526175110796
1,0.0,0.0,0,0,898.3862991432445,478.908,0.0,94.7356269845927,0,1904.326598921637,316.29997294422657,0.0,12.320414255753663,0,2114.277915691623,364.2434072325999,0.0,0,191.01946384476952,4340.039577299444,577.3549732766071,0.0,0,0,7312.495380011358,2754.4136465465667,0.0,1792.2330611926918,2168.662737680351,25276.59380998409,1187.45387,0.0,0,2420.825525333745,5353.600224841237,46.11116185604677,0.0,0,0,1459.5416517903234,46.11116185604677,-0.0,0,214.9358792701114,874.9616693885214,524.1665144318598,0.0,0,0,3392.162460087287,46.11116185604677,0.0,0,0,669.0156113848609,0.00159,0.0,0,0,2384.9409629398965,248.42140068147395,0.0,0,1244.478349698149,1584.4800833657903,2177.0169906612828,0.0,0,3162.7930671527047,3275.9750723941866,243.78296428571434,0.0,508.4913421890908,258.3247041088392,10395.368006887387,743.7401443715296,0.0,198.3782784277278,2096.4647091188494,3860.0652691543655,1560.6379334546052,10575.939707211239,3061.4523915812847,1427.375,4135.107414911788,570.0,1061.5164955452292,897.085,734.79235914297,2188.7411361700065,3530.124,820.8,1166.2199999999998,2452.044599720239,5109.010725726574,3127.2151583396553,3590.7961811053424,3790.1270397623066,2957.3136151632652,3350.469714731743,7586.86469681537,2854.167766087453,898.3862991432445,2477.9702259062296,2854.167766087453,2188.7411361700065,2442.898302891603,4895.302448376814,7889.850353287965,31991.9032554037,1560.6379334546052,10575.939707211239,2452.044599720239,3530.124,1166.2199999999998,820.8,8961.879620174983,734.79235914297,897.085,1505.65281364637,1136.0087105146795,3916.328974519147,715.1267732409077,3061.4523915812847,1061.5164955452292,1427.375,4135.107414911788,570.0,2384.9425529398964,3077.379833745413,8615.785130208174,11405.967017471032,6898.648401072473,3350.469714731743,7586.86469681537,3590.7961811053424,3790.1270397623066,5109.010725726574,3127.2151583396553,2957.3136151632652
2,0.0,0.0,0,0,897.4879128441013,478.908,0.0,94.7356269845927,0,2270.7942615929664,316.29997294422657,0.0,12.320414255753663,0,2411.908187759008,364.2434072325999,0.0,0,202.70161518881486,4327.539498095821,577.3549732766071,0.0,0,0,8572.27989008912,2754.4136465465667,0.0,1792.2330611926918,2634.0565138041056,26828.12241411829,1187.45387,0.0,0,2509.9432323675273,5449.47984238726,46.11116185604677,0.0,0,0,1489.5839782720918,46.11116185604677,-0.0,0,215.0689544848221,902.3121466985781,524.1665144318598,0.0,0,0,3653.1675557276267,46.11116185604677,0.0,0,0,745.1837601952227,0.00159,0.0,0,0,2426.836807224725,248.42140068147395,0.0,0,1243.9254028013688,1567.687165109619,2177.0169906612828,0.0,0,3171.317938623603,3219.2446337134297,243.78296428571434,0.0,508.4913421890908,263.1159747038947,11661.226874414948,743.7401443715296,0.0,198.3782784277278,2082.870918416857,3800.324110529332,2457.109093181926,11780.257643656534,4371.570647419944,1427.375,4366.1594385546505,570.0,1514.1465800387623,897.085,640.7611820863058,2203.203296478472,3530.124,820.8,1166.2199999999998,2718.7583012244645,5279.712921970065,3821.3692023326294,3657.4416360339947,3930.3499905020913,3037.2929113963055,3437.4890409900763,7597.250429354274,2689.5409986655286,897.4879128441013,2844.437888577559,2689.5409986655286,2203.203296478472,2740.528574958988,4894.484520517235,9149.634863365727,34008.825635661655,2457.109093181926,11780.257643656534,2718.7583012244645,3530.124,1166.2199999999998,820.8,9146.876944754787,640.7611820863058,897.085,1535.6951401281385,1163.492263039447,4177.334070159486,791.2949220512695,4371.570647419944,1514.1465800387623,1427.375,4366.1594385546505,570.0,2426.8383972247248,3060.033968592462,8567.579562998315,12676.617155593647,6825.313451745446,3437.4890409900763,7597.250429354274,3657.4416360339947,3930.3499905020913,5279.712921970065,3821.3692023326294,3037.2929113963055
3,0.0,0.0,0,0,895.6911402458147,478.908,0.0,94.7356269845927,0,2422.5253513607618,316.29997294422657,0.0,12.320414255753663,0,2456.7830134289115,364.2434072325999,0.0,0,212.57294921365667,4990.444619267892,577.3549732766071,0.0,0,0,9870.672888925013,2754.4136465465667,0.0,1792.2330611926918,2884.0807483885683,29185.796650237924,1187.45387,0.0,0,2526.3165237052376,5236.095703504188,46.11116185604677,0.0,0,0,1511.8000672485805,46.11116185604677,0.0,0,215.64717132136275,918.3917777464922,524.1665144318598,0.0,0,0,3816.375890703458,46.11116185604677,0.0,0,0,860.8222188277255,0.00159,0.0,0,0,2411.093923688601,248.42140068147395,0.0,0,1239.9225540709792,1542.2447540205922,2177.0169906612828,0.0,0,3187.732436372858,3203.354278319463,243.78296428571434,0.0,508.4913421890908,263.1154502177037,11940.016158595745,743.7401443715296,0.0,198.3782784277278,2091.3261509448107,3642.88503754242,2786.08274433913,13295.17851104045,4685.068058288881,1427.375,4498.797961019761,570.0,1647.912193409251,897.085,758.3027331933408,2206.106386418026,3530.124,820.8,1166.2199999999998,2807.03958000866,5373.210768606965,4656.904725386339,3536.632877625021,4163.866448116905,3016.4697382324835,3444.387631980951,7597.2579981049685,2320.4362347156357,895.6911402458147,2996.1689783453544,2320.4362347156357,2206.106386418026,2785.4034006288916,5567.260975714149,10448.027862201621,36616.52410636575,2786.08274433913,13295.17851104045,2807.03958000866,3530.124,1166.2199999999998,820.8,8949.866097209426,758.3027331933408,897.085,1557.9112291046272,1180.1501109239016,4340.5424051353175,906.9333806837723,4685.068058288881,1647.912193409251,1427.375,4498.797961019761,570.0,2411.095513688601,3030.5887087730453,8568.103705353604,12955.405915288255,6676.329611286488,3444.387631980951,7597.2579981049685,3536.632877625021,4163.866448116905,5373.210768606965,4656.904725386339,3016.4697382324835
4,0.0,0.0,0,0,888.5040498526688,478.908,0.0,94.7356269845927,0,2541.5753204103817,316.29997294422657,0.0,12.320414255753663,0,2856.106345888449,364.2434072325999,0.0,0,212.89499999999998,5638.104005430908,577.3549732766071,0.0,0,0,10848.280098594289,2754.4136465465667,0.0,1792.2330611926918,2936.461892969906,30829.546940765515,1187.45387,0.0,0,2517.404475294378,5084.527796191547,46.11116185604677,0.0,0,0,1515.1381035243326,46.11116185604677,0.0,0,216.42573056557757,927.027236660566,524.1665144318598,0.0,0,0,3864.403271622319,46.11116185604677,0.0,0,0,960.4568535829931,0.00159,0.0,0,0,2462.909357733368,248.42140068147395,0.0,0,1236.5776134751488,1535.5236001410979,2177.0169906612828,0.0,0,3215.0395660999525,3258.772863762311,243.78296428571434,0.0,508.4913421890908,263.1153234411288,11887.296413466327,743.7401443715296,0.0,198.3782784277278,2093.0437432216063,3707.8082498598123,3230.4263169458522,13295.1635056336,5283.349403451916,1427.375,4722.297841792088,570.0,1744.8608206246424,897.085,882.0106800671069,2178.21951543779,3530.124,820.8,1166.2199999999998,2871.5176548737118,5373.190548399036,4865.003478997994,4100.277111495208,4200.866313442454,3015.184965641649,3396.4991765321893,7597.26875237505,1823.5676095576268,888.5040498526688,3115.2189473949743,1823.5676095576268,2178.21951543779,3184.7267330884292,6215.242412663508,11425.635071870896,38312.65554147468,3230.4263169458522,13295.1635056336,2871.5176548737118,3530.124,1166.2199999999998,820.8,8789.386141485924,882.0106800671069,897.085,1561.2492653803793,1189.5641290821904,4388.569786054179,1006.5680154390399,5283.349403451916,1744.8608206246424,1427.375,4722.297841792088,570.0,2462.9109477333677,3020.522614297721,8650.829420523547,12902.68604338226,6742.970415880676,3396.4991765321893,7597.26875237505,4100.277111495208,4200.866313442454,5373.190548399036,4865.003478997994,3015.184965641649
5,0.0,0.0,0,0,875.0282553655202,478.908,0.0,94.7356269845927,0,2571.813840121235,316.29997294422657,0.0,12.320414255753663,0,3155.492364132529,364.2434072325999,0.0,0,212.89499999999998,5959.517930512415,577.3549732766071,0.0,0,0,11521.324743108195,2754.4136465465667,0.0,1792.2330611926918,2943.389205477025,30803.867594928415,1187.45387,0.0,0,2492.687805816535,4919.929616714344,46.11116185604677,0.0,0,0,1531.7720556103054,46.11116185604677,0.0,0,216.56952564835626,933.9454907785444,524.1665144318598,0.0,0,0,3921.794732366605,46.11116185604677,0.0,0,0,1023.1103863156411,0.00159,0.0,0,0,2570.9754804718477,248.42140068147395,0.0,0,1233.4725667727705,1511.2603106919003,2177.0169906612828,0.0,0,3276.7833671507133,3329.982610648303,243.78296428571434,0.0,508.4913421890908,263.11546937051673,12113.163747169272,743.7401443715296,0.0,198.3782784277278,2102.0611902112532,3516.490174884038,3264.9143262374405,13295.161863275574,5198.135833460157,1427.375,4704.564353117652,570.0,1783.8787978164794,897.085,945.0595172562801,2154.1884027803485,3530.124,820.8,1166.2199999999998,2871.5172565834932,5373.21228779969,4705.391942766986,3978.793392920673,4200.855632861732,2872.277928965561,3326.6190686685895,7597.30365105452,1617.750136027505,875.0282553655202,3145.4574671058276,1617.750136027505,2154.1884027803485,3484.112751332509,6536.656337745015,12098.679716384802,38293.9035081447,3264.9143262374405,13295.161863275574,2871.5172565834932,3530.124,1166.2199999999998,820.8,8600.07129253088,945.0595172562801,897.085,1577.883217466352,1196.6261782829474,4445.961246798464,1069.2215481716878,5198.135833460157,1783.8787978164794,1427.375,4704.564353117652,570.0,2570.9770704718476,2993.154278146145,8783.782968460298,13128.553523014594,6560.669787894549,3326.6190686685895,7597.30365105452,3978.793392920673,4200.855632861732,5373.21228779969,4705.391942766986,2872.277928965561
6,0.0,0.0,0,0,849.8734389895093,478.908,0.0,94.7356269845927,0,2632.338219909941,316.29997294422657,0.0,12.320414255753663,0,3418.5017449819907,364.2434072325999,0.0,0,212.89499999999998,6521.305885453694,577.3549732766071,0.0,0,0,12331.752367107809,2754.4136465465667,0.0,1792.2330611926918,2948.5471686934998,31664.76611524753,1187.45387,0.0,0,2461.4590322031645,4961.142888194705,46.11116185604677,0.0,0,0,1528.4340193345533,46.11116185604677,0.0,0,216.5730772602184,933.550327608053,524.1665144318598,0.0,0,0,3942.0638801445393,46.11116185604677,0.0,0,0,1067.9601321038058,0.00159,0.0,0,0,2709.513384943557,248.42140068147395,0.0,0,1228.7399904157435,1497.13842883805,2177.0169906612828,0.0,0,3490.6037129749166,3464.223422474377,243.78296428571434,0.0,508.4913421890908,263.1158224067808,12293.246764524793,743.7401443715296,0.0,198.3782784277278,2213.067922081391,3292.2270095867184,3264.9114611887076,13295.177768072512,5368.838951459355,1427.375,4752.083631747117,570.0,1807.0712320424168,897.085,936.7583458389008,2115.199521232864,3530.124,820.8,1166.2199999999998,2871.5171793661116,5354.519719898543,4693.005548189644,4910.402341138396,4200.855257524507,2800.1223541458485,3303.880622743554,7597.279770875939,1338.6421636730015,849.8734389895093,3205.9818468945336,1338.6421636730015,2115.199521232864,3747.1221321819708,7098.444292686294,12909.107340384417,39159.95999168029,3264.9114611887076,13295.177768072512,2871.5171793661116,3530.124,1166.2199999999998,820.8,8610.05579039787,936.7583458389008,897.085,1574.5451811906,1196.234566724318,4466.230394576399,1114.0712939598525,5368.838951459355,1807.0712320424168,1427.375,4752.083631747117,570.0,2709.514974943557,2974.2998199352674,9131.844126110576,13308.63689340638,6447.413354467366,3303.880622743554,7597.279770875939,4910.402341138396,4200.855257524507,5354.519719898543,4693.005548189644,2800.1223541458485
7,0.0,0.0,0,0,811.2428281263498,478.908,0.0,94.7356269845927,0,2484.373575030119,316.29997294422657,0.0,12.320414255753663,0,3611.104186774954,364.2434072325999,0.0,0,212.89499999999998,6708.971165100787,577.3549732766071,0.0,0,0,13159.53441598535,2754.4136465465667,0.0,1792.2330611926918,2950.2642064814336,33616.96786802835,1187.45387,0.0,0,2443.9204727303945,5011.326624219163,46.11116185604677,0.0,0,0,1540.8435407574266,46.11116185604677,0.0,0,216.56838925840322,930.2902314514994,524.1665144318598,0.0,0,0,3942.370486601905,46.11116185604677,0.0,0,0,967.0672022619549,0.00159,0.0,0,0,2878.2302418836493,248.42140068147395,0.0,0,1220.332422661552,1451.2722546583277,2177.0169906612828,0.0,0,3458.6952187714246,3570.662930880672,243.78296428571434,0.0,508.4913421890908,263.1157816122683,12341.292713032099,743.7401443715296,0.0,198.3782784277278,2241.0871333087193,3531.2664090642265,3264.9308549990415,13295.153006479642,5197.560845872095,1427.375,4758.77974586757,570.0,1735.0351810130348,897.085,901.3643652239065,2085.2487363650484,3530.124,820.8,1166.2199999999998,2871.5224144872695,5333.9488514438,4788.703113722111,6031.625778381012,4200.854824401684,2704.578187478872,3319.6257274784844,7597.25475676237,1143.169974215596,811.2428281263498,3058.0172020147115,1143.169974215596,2085.2487363650484,3939.724573974934,7286.109572333387,13736.889389261958,41113.87878224904,3264.9308549990415,13295.153006479642,2871.5224144872695,3530.124,1166.2199999999998,820.8,8642.700966949556,901.3643652239065,897.085,1586.9547026134733,1192.9697825659493,4466.537001033765,1013.1783641180017,5197.560845872095,1735.0351810130348,1427.375,4758.77974586757,570.0,2878.231831883649,2920.0260780013537,9206.37514031338,13356.682801119172,6714.471965172203,3319.6257274784844,7597.25475676237,6031.625778381012,4200.854824401684,5333.9488514438,4788.703113722111,2704.578187478872
8,0.0,0.0,0,0,795.9702610409147,478.908,0.0,94.7356269845927,0,2451.290956972496,316.29997294422657,0.0,12.320414255753663,0,3610.6707942082103,364.2434072325999,0.0,0,212.89499999999998,6445.701468231959,577.3549732766071,0.0,0,0,13399.927578324474,2754.4136465465667,0.0,1792.2330611926918,2951.078330578634,34877.27692445841,1187.45387,0.0,0,2450.3281070544776,4921.929406927173,46.11116185604677,0.0,0,0,1518.2123692336572,46.11116185604677,0.0,0,216.477089536584,923.703212398517,524.1665144318598,0.0,0,0,3921.48812590924,46.11116185604677,0.0,0,0,907.1626510394667,0.00159,0.0,0,0,3027.6985852658127,248.42140068147395,0.0,0,1210.2657086340148,1425.5229061634914,2177.0169906612828,0.0,0,3638.604598406886,3696.5307506355534,243.78296428571434,0.0,508.4913421890908,263.1157042083739,12845.4429350955,743.7401443715296,0.0,198.3782784277278,2317.3088059379666,3924.7275777976984,3264.9248089225316,13295.156819965598,4957.904866129363,1427.375,4685.082147287826,570.0,1763.9602644944716,897.085,883.7687712863476,2069.7376997360316,3530.124,820.8,1166.2199999999998,2871.5177342911416,5373.189457214608,4863.673368561023,6305.892740345675,4200.853021347695,2619.956908532926,3325.8794467001057,7597.250296722051,1061.53581671132,795.9702610409147,3024.9345839570888,1061.53581671132,2069.7376997360316,3939.2911814081904,7022.839875464559,13977.282551601082,42375.0019627763,3264.9248089225316,13295.156819965598,2871.5177342911416,3530.124,1166.2199999999998,820.8,8559.71138398165,883.7687712863476,897.085,1564.323531089704,1186.2914637911479,4445.654640341099,953.2738128955135,4957.904866129363,1763.9602644944716,1427.375,4685.082147287826,570.0,3027.7001752658125,2884.21001547898,9512.152339703722,13860.832945778679,7184.1548065349225,3325.8794467001057,7597.250296722051,6305.892740345675,4200.853021347695,5373.189457214608,4863.673368561023,2619.956908532926
